"n","type","RRR","D&C"
"25","Reference",0.002,0
"25","Reference",0.001,0
"25","Reference",0.001,0
"25","Reference",0.001,0
"25","Reference",0.001,0
"50","Reference",0.001,0.001
"50","Reference",0,0.001
"50","Reference",0,0.001
"50","Reference",0.001,0.001
"50","Reference",0.001,0.001
"100","Reference",0.003,0.004
"100","Reference",0.00300000000000011,0.00500000000000012
"100","Reference",0.00299999999999989,0.00500000000000012
"100","Reference",0.00299999999999989,0.004
"100","Reference",0.00299999999999989,0.004
"250","Reference",0.0289999999999999,0.038
"250","Reference",0.0289999999999999,0.038
"250","Reference",0.0289999999999999,0.038
"250","Reference",0.028,0.038
"250","Reference",0.0279999999999998,0.038
"500","Reference",0.228,0.235
"500","Reference",0.191,0.235
"500","Reference",0.21,0.235
"500","Reference",0.19,0.235
"500","Reference",0.191,0.235
"1000","Reference",1.475,1.696
"1000","Reference",1.447,1.699
"1000","Reference",1.432,1.695
"1000","Reference",1.449,1.751
"1000","Reference",1.419,1.745
"2000","Reference",11.216,13.334
"2000","Reference",11.053,13.306
"2000","Reference",10.994,13.405
"2000","Reference",11.128,13.318
"2000","Reference",11.002,13.359
"4000","Reference",85.964,104.955
"4000","Reference",85.628,104.69
"4000","Reference",85.553,104.53
"4000","Reference",85.626,104.905
"4000","Reference",85.3599999999999,104.153
"8000","Reference",666.215,832.113
"8000","Reference",666.104,835.147
"8000","Reference",668.659,834.235
"8000","Reference",664.664000000001,833.817
"8000","Reference",665.492999999999,835.073
"25","Atlas",0.001,0.001
"25","Atlas",0,0.001
"25","Atlas",0,0
"25","Atlas",0,0
"25","Atlas",0.001,0
"50","Atlas",0.001,0.001
"50","Atlas",0.001,0.001
"50","Atlas",0.001,0.001
"50","Atlas",0.001,0
"50","Atlas",0,0
"100","Atlas",0.003,0.004
"100","Atlas",0.00200000000000011,0.00299999999999989
"100","Atlas",0.002,0.00300000000000011
"100","Atlas",0.002,0.004
"100","Atlas",0.00300000000000011,0.00300000000000011
"250","Atlas",0.02,0.0229999999999999
"250","Atlas",0.0190000000000001,0.0230000000000001
"250","Atlas",0.02,0.0229999999999999
"250","Atlas",0.0190000000000001,0.0230000000000001
"250","Atlas",0.0199999999999998,0.0230000000000001
"500","Atlas",0.143,0.119
"500","Atlas",0.103,0.118
"500","Atlas",0.122,0.118
"500","Atlas",0.103,0.118
"500","Atlas",0.103,0.118
"1000","Atlas",0.732,0.736
"1000","Atlas",0.69,0.732
"1000","Atlas",0.694,0.732000000000001
"1000","Atlas",0.712,0.731999999999999
"1000","Atlas",0.692,0.728999999999999
"2000","Atlas",4.982,5.391
"2000","Atlas",4.958,5.384
"2000","Atlas",4.944,5.376
"2000","Atlas",4.994,5.393
"2000","Atlas",4.985,5.41700000000001
"4000","Atlas",40.884,39.86
"4000","Atlas",41.026,40.145
"4000","Atlas",40.661,40.276
"4000","Atlas",40.598,40.095
"4000","Atlas",40.665,39.727
"8000","Atlas",286.125,296.775
"8000","Atlas",286.848,296.991
"8000","Atlas",284.315,297.062
"8000","Atlas",286.798,302.538
"8000","Atlas",286.685,307.726
"25","OpenBLAS",0.001,0.001
"25","OpenBLAS",0,0
"25","OpenBLAS",0,0
"25","OpenBLAS",0.001,0
